Ensembl Gene ID	Associated Gene Name	Gene Biotype
ENSMUSG00000043331	Olfr975	protein_coding
ENSMUSG00000082263	Gm11188	pseudogene
ENSMUSG00000047714	Ppp1r2	protein_coding
ENSMUSG00000097781	9330136K24Rik	lincRNA
ENSMUSG00000087455	5330411J11Rik	processed_transcript
ENSMUSG00000093986	Vmn1r120	protein_coding
ENSMUSG00000058073	Gm11189	pseudogene
ENSMUSG00000097759	Gm26753	lincRNA
ENSMUSG00000073947	Olfr615	protein_coding
ENSMUSG00000056296	Synpr	protein_coding
ENSMUSG00000084250	Gm13550	pseudogene
ENSMUSG00000094211	Gm21789	protein_coding
ENSMUSG00000097379	Gm26873	lincRNA
ENSMUSG00000082989	Gm13557	pseudogene
ENSMUSG00000074754	Gm561	protein_coding
ENSMUSG00000094010	Vmn1r119	protein_coding
ENSMUSG00000097566	A930024N18Rik	lincRNA
ENSMUSG00000094361	Gm21657	protein_coding
ENSMUSG00000061024	Rrs1	protein_coding
ENSMUSG00000082800	Gm13560	pseudogene
ENSMUSG00000078624	Olfr613	protein_coding
ENSMUSG00000051493	Olfr974	protein_coding
ENSMUSG00000097624	Gm5091	lincRNA
ENSMUSG00000071104	Ccdc110	protein_coding
ENSMUSG00000094589	Vmn1r118	protein_coding
ENSMUSG00000097350	4732491K20Rik	lincRNA
ENSMUSG00000094119	Olfr612	protein_coding
ENSMUSG00000095833	Gm21951	protein_coding
ENSMUSG00000067855	Speer3	protein_coding
ENSMUSG00000097049	6530411M01Rik	lincRNA
ENSMUSG00000001119	Col6a1	protein_coding
ENSMUSG00000095390	Olfr229	protein_coding
ENSMUSG00000096737	Vmn1r117	protein_coding
ENSMUSG00000009900	Wnt3a	protein_coding
ENSMUSG00000097796	Gm16702	lincRNA
ENSMUSG00000056718	Gm13199	protein_coding
ENSMUSG00000049606	Zfp644	protein_coding
ENSMUSG00000096584	Olfr611	protein_coding
ENSMUSG00000041710	Trpc5	protein_coding
ENSMUSG00000097103	Gm2885	lincRNA
ENSMUSG00000020747	2310067B10Rik	protein_coding
ENSMUSG00000051729	Gm5087	protein_coding
ENSMUSG00000095973	Vmn1r116	protein_coding
ENSMUSG00000025579	Gaa	protein_coding
ENSMUSG00000097723	Gm26848	lincRNA
ENSMUSG00000094449	Olfr972	protein_coding
ENSMUSG00000045584	Olfr610	protein_coding
ENSMUSG00000097460	Gm26734	lincRNA
ENSMUSG00000087668	Gm11186	antisense
ENSMUSG00000085871	Gm12698	antisense
ENSMUSG00000032413	Rasa2	protein_coding
ENSMUSG00000097879	Gm26869	lincRNA
ENSMUSG00000021939	Ctsb	protein_coding
ENSMUSG00000083442	Gm11187	pseudogene
ENSMUSG00000041134	Cyyr1	protein_coding
ENSMUSG00000046396	Olfr609	protein_coding
ENSMUSG00000091435	Vmn1r115	protein_coding
ENSMUSG00000028738	Tas1r2	protein_coding
ENSMUSG00000043461	Sptssb	protein_coding
ENSMUSG00000039982	Dtx4	protein_coding
ENSMUSG00000097514	Gm17619	lincRNA
ENSMUSG00000093934	Olfr971	protein_coding
ENSMUSG00000031636	Pdlim3	protein_coding
ENSMUSG00000031864	Ints10	protein_coding
ENSMUSG00000096907	Gm6113	pseudogene
ENSMUSG00000073948	Olfr608	protein_coding
ENSMUSG00000097065	A630075F10Rik	lincRNA
ENSMUSG00000094085	Vmn1r114	protein_coding
ENSMUSG00000027364	Usp50	protein_coding
ENSMUSG00000080967	Gm12706	pseudogene
ENSMUSG00000034832	Tet3	protein_coding
ENSMUSG00000042402	Olfr607	protein_coding
ENSMUSG00000096972	Gm26883	lincRNA
ENSMUSG00000086385	Gm12701	sense_intronic
ENSMUSG00000083129	Gm12210	pseudogene
ENSMUSG00000095774	Olfr970	protein_coding
ENSMUSG00000091638	Vmn1r113	protein_coding
ENSMUSG00000094601	Gm5926	protein_coding
ENSMUSG00000085142	Gm12702	lincRNA
ENSMUSG00000046805	Mpeg1	protein_coding
ENSMUSG00000081297	Gm12209	pseudogene
ENSMUSG00000097722	Gm26841	lincRNA
ENSMUSG00000073949	Olfr606	protein_coding
ENSMUSG00000086592	Gm12682	antisense
ENSMUSG00000097818	Gm26681	lincRNA
ENSMUSG00000094309	Gmcl1l	protein_coding
ENSMUSG00000024151	Msh2	protein_coding
ENSMUSG00000025909	Sntg1	protein_coding
ENSMUSG00000048285	Frmd6	protein_coding
ENSMUSG00000058079	Olfr605	protein_coding
ENSMUSG00000097458	Gm26697	lincRNA
ENSMUSG00000006931	Leprel4	protein_coding
ENSMUSG00000094254	Olfr969	protein_coding
ENSMUSG00000097799	Gm26899	lincRNA
ENSMUSG00000040065	Pfpl	protein_coding
ENSMUSG00000094284	Vmn1r112	protein_coding
ENSMUSG00000051427	Ccdc157	protein_coding
ENSMUSG00000097317	Gm17281	lincRNA
ENSMUSG00000058976	Usp17lc	protein_coding
ENSMUSG00000024027	Glp1r	protein_coding
ENSMUSG00000072066	6720489N17Rik	protein_coding
ENSMUSG00000097868	A330069E16Rik	lincRNA
ENSMUSG00000095190	Gm10668	protein_coding
ENSMUSG00000058762	Btnl6	protein_coding
ENSMUSG00000095903	Olfr968	protein_coding
ENSMUSG00000097843	Gm26755	lincRNA
ENSMUSG00000050815	Olfr1441	protein_coding
ENSMUSG00000028329	Xpa	protein_coding
ENSMUSG00000083780	Gm12728	protein_coding
ENSMUSG00000074865	Zfp934	protein_coding
ENSMUSG00000028737	Aldh4a1	protein_coding
ENSMUSG00000097377	Gm10822	lincRNA
ENSMUSG00000095768	Vmn1r111	protein_coding
ENSMUSG00000046650	Olfr1440	protein_coding
ENSMUSG00000097235	Gm17250	lincRNA
ENSMUSG00000040963	Asgr2	protein_coding
ENSMUSG00000021342	Prl	protein_coding
ENSMUSG00000055820	Olfr967	protein_coding
ENSMUSG00000097837	Gm26794	lincRNA
ENSMUSG00000080819	Gm2005	pseudogene
ENSMUSG00000095275	Vmn1r107	protein_coding
ENSMUSG00000096436	Olfr1437	protein_coding
ENSMUSG00000059874	Olfr603	protein_coding
ENSMUSG00000037816	Fbxw17	protein_coding
ENSMUSG00000097857	Gm26603	lincRNA
ENSMUSG00000055228	Zfp935	protein_coding
ENSMUSG00000045160	Bola3	protein_coding
ENSMUSG00000083060	Gm14533	pseudogene
ENSMUSG00000061200	Olfr601	protein_coding
ENSMUSG00000067513	Olfr1436	protein_coding
ENSMUSG00000097052	Snhg7	lincRNA
ENSMUSG00000094353	Olfr150	protein_coding
ENSMUSG00000094942	Gm3604	protein_coding
ENSMUSG00000079657	Rab26	protein_coding
ENSMUSG00000025453	Nnt	protein_coding
ENSMUSG00000045540	Olfr600	protein_coding
ENSMUSG00000095640	Olfr1433	protein_coding
ENSMUSG00000095837	Gm4141	protein_coding
ENSMUSG00000054763	Defb42	protein_coding
ENSMUSG00000045835	Hdgfl1	protein_coding
ENSMUSG00000097872	Gm26702	lincRNA
ENSMUSG00000074656	Eif2s2	protein_coding
ENSMUSG00000073950	Olfr599	protein_coding
ENSMUSG00000034416	Pkd1l2	protein_coding
ENSMUSG00000074867	Zfp808	protein_coding
ENSMUSG00000097345	AA543186	lincRNA
ENSMUSG00000036106	Prr5	protein_coding
ENSMUSG00000096761	Gm5726	protein_coding
ENSMUSG00000095839	Olfr965	protein_coding
ENSMUSG00000097774	Gm26565	lincRNA
ENSMUSG00000036661	Dennd3	protein_coding
ENSMUSG00000073951	Olfr598	protein_coding
ENSMUSG00000048076	Arf1	protein_coding
ENSMUSG00000025817	Nudt5	protein_coding
ENSMUSG00000097770	Gm26776	lincRNA
ENSMUSG00000096903	Vmn1r104	protein_coding
ENSMUSG00000099269	CALM5	protein_coding
ENSMUSG00000080985	Gm13559	pseudogene
ENSMUSG00000019861	Gopc	protein_coding
ENSMUSG00000073952	Olfr597	protein_coding
ENSMUSG00000074870	Cts3	protein_coding
ENSMUSG00000075571	Defb30	protein_coding
ENSMUSG00000062121	Olfr149	protein_coding
ENSMUSG00000098049	Gbp11	protein_coding
ENSMUSG00000045394	Epcam	protein_coding
ENSMUSG00000096663	Vmn1r103	protein_coding
ENSMUSG00000096194	Gm2799	protein_coding
ENSMUSG00000043131	Mob1a	protein_coding
ENSMUSG00000060049	Olfr235	protein_coding
ENSMUSG00000073953	Olfr596	protein_coding
ENSMUSG00000055745	Ldoc1l	protein_coding
ENSMUSG00000078747	Gm20878	protein_coding
ENSMUSG00000094762	Gm10670	protein_coding
ENSMUSG00000093857	Gm21645	protein_coding
ENSMUSG00000098598	POU6F1	protein_coding
ENSMUSG00000064110	Olfr963	protein_coding
ENSMUSG00000003581	Rnf215	protein_coding
ENSMUSG00000067519	Olfr262	protein_coding
ENSMUSG00000086129	Gm13558	sense_intronic
ENSMUSG00000086959	E330010L02Rik	lincRNA
ENSMUSG00000074871	Ctsm	protein_coding
ENSMUSG00000080951	Gm12208	pseudogene
ENSMUSG00000094545	Vmn1r101	protein_coding
ENSMUSG00000057321	Usp17ld	protein_coding
ENSMUSG00000075572	Defb43	protein_coding
ENSMUSG00000082408	Gm13545	pseudogene
ENSMUSG00000099100	MDGA2	protein_coding
ENSMUSG00000094133	Olfr1431	protein_coding
ENSMUSG00000095770	Gm21637	protein_coding
ENSMUSG00000086395	A630014C17Rik	antisense
ENSMUSG00000091096	Gm17304	protein_coding
ENSMUSG00000086096	Gm12688	lincRNA
ENSMUSG00000059106	Olfr961	protein_coding
ENSMUSG00000096386	Vmn1r100	protein_coding
ENSMUSG00000086995	Gm13544	antisense
ENSMUSG00000075573	Defb47	protein_coding
ENSMUSG00000083698	Gm12687	pseudogene
ENSMUSG00000067522	Olfr76	protein_coding
ENSMUSG00000073954	Olfr594	protein_coding
ENSMUSG00000086650	A430048G15Rik	lincRNA
ENSMUSG00000087332	Gm12690	lincRNA
ENSMUSG00000058435	Btnl4	protein_coding
ENSMUSG00000086862	Gm13546	antisense
ENSMUSG00000095806	Gm5728	protein_coding
ENSMUSG00000067524	Olfr1428	protein_coding
ENSMUSG00000042050	Wdr60	protein_coding
ENSMUSG00000075574	Defb48	protein_coding
ENSMUSG00000095300	Gm906	protein_coding
ENSMUSG00000083689	Gm14094	pseudogene
ENSMUSG00000073955	Olfr593	protein_coding
ENSMUSG00000053472	Gm13534	pseudogene
ENSMUSG00000048978	Nrsn1	protein_coding
ENSMUSG00000098034	Serpinb10	protein_coding
ENSMUSG00000094439	Gm21969	protein_coding
ENSMUSG00000067525	Olfr1427	protein_coding
ENSMUSG00000059867	Olfr960	protein_coding
ENSMUSG00000095745	Gm4133	protein_coding
ENSMUSG00000082940	Gm14103	pseudogene
ENSMUSG00000086859	2810008D09Rik	lincRNA
ENSMUSG00000091539	Vmn1r238	protein_coding
ENSMUSG00000073956	Olfr592	protein_coding
ENSMUSG00000064372	mt-Tp	Mt_tRNA
ENSMUSG00000029622	Arpc1b	protein_coding
ENSMUSG00000064371	mt-Tt	Mt_tRNA
ENSMUSG00000064370	mt-Cytb	protein_coding
ENSMUSG00000094757	Gm4498	protein_coding
ENSMUSG00000085104	Gm11731	lincRNA
ENSMUSG00000090497	Gm17611	protein_coding
ENSMUSG00000048299	Olfr148	protein_coding
ENSMUSG00000025041	Nt5c2	protein_coding
ENSMUSG00000034384	Barhl2	protein_coding
ENSMUSG00000064369	mt-Te	Mt_tRNA
ENSMUSG00000086902	Gm11728	lincRNA
ENSMUSG00000094886	Gm10784	protein_coding
ENSMUSG00000020441	2310033P09Rik	protein_coding
ENSMUSG00000064368	mt-Nd6	protein_coding
ENSMUSG00000082464	Rab9b-ps1	pseudogene
ENSMUSG00000094298	Gm6164	protein_coding
ENSMUSG00000057461	Olfr591	protein_coding
ENSMUSG00000086920	Gm12207	antisense
ENSMUSG00000064367	mt-Nd5	protein_coding
ENSMUSG00000080803	Gm12683	pseudogene
ENSMUSG00000096730	Vmn2r122	protein_coding
ENSMUSG00000083175	Gm12206	pseudogene
ENSMUSG00000081150	Gm12684	pseudogene
ENSMUSG00000084141	Olfr1372-ps1	pseudogene
ENSMUSG00000056032	BC018473	antisense
ENSMUSG00000051362	Olfr589	protein_coding
ENSMUSG00000039483	Asb6	protein_coding
ENSMUSG00000084393	Gm14101	pseudogene
ENSMUSG00000064366	mt-Tl2	Mt_tRNA
ENSMUSG00000093976	Gm8674	protein_coding
ENSMUSG00000087620	5330434G04Rik	lincRNA
ENSMUSG00000064365	mt-Ts2	Mt_tRNA
ENSMUSG00000084800	Gm12205	antisense
ENSMUSG00000033166	Dis3	protein_coding
ENSMUSG00000044994	Olfr1426	protein_coding
ENSMUSG00000094735	Vmn1r95	protein_coding
ENSMUSG00000031444	F10	protein_coding
ENSMUSG00000064364	mt-Th	Mt_tRNA
ENSMUSG00000003585	Sec14l2	protein_coding
ENSMUSG00000086478	Gm14102	lincRNA
ENSMUSG00000064363	mt-Nd4	protein_coding
ENSMUSG00000086493	Gm12204	antisense
ENSMUSG00000066268	Olfr586	protein_coding
ENSMUSG00000086575	Gm14104	antisense
ENSMUSG00000067526	Olfr1425	protein_coding
ENSMUSG00000083744	Gm14824	pseudogene
ENSMUSG00000061469	Gm12569	antisense
ENSMUSG00000094011	Vmn1r94	protein_coding
ENSMUSG00000065947	mt-Nd4l	protein_coding
ENSMUSG00000041025	Iffo2	protein_coding
ENSMUSG00000078080	Olfr585	protein_coding
ENSMUSG00000028517	Ppap2b	protein_coding
ENSMUSG00000064361	mt-Tr	Mt_tRNA
ENSMUSG00000067528	Olfr1424	protein_coding
ENSMUSG00000028883	Sema3a	protein_coding
ENSMUSG00000082442	Gm12686	pseudogene
ENSMUSG00000064360	mt-Nd3	protein_coding
ENSMUSG00000086646	5133400J02Rik	lincRNA
ENSMUSG00000096164	Vmn1r93	protein_coding
ENSMUSG00000081184	Gm12685	pseudogene
ENSMUSG00000064359	mt-Tg	Mt_tRNA
ENSMUSG00000084839	Gm14097	antisense
ENSMUSG00000073959	Olfr584	protein_coding
ENSMUSG00000067529	Olfr1423	protein_coding
ENSMUSG00000019891	Dcbld1	protein_coding
ENSMUSG00000081296	Gm12203	pseudogene
ENSMUSG00000064358	mt-Co3	protein_coding
ENSMUSG00000086498	Gm12681	lincRNA
ENSMUSG00000081662	Gm14098	pseudogene
ENSMUSG00000083312	Olfr1374-ps1	pseudogene
ENSMUSG00000087395	Gm12705	antisense
ENSMUSG00000064357	mt-Atp6	protein_coding
ENSMUSG00000096152	Gm16442	protein_coding
ENSMUSG00000083156	Gm12201	pseudogene
ENSMUSG00000084089	Gm14099	pseudogene
ENSMUSG00000081733	Gm12852	pseudogene
ENSMUSG00000073960	Olfr583	protein_coding
ENSMUSG00000028259	Fhl5	protein_coding
ENSMUSG00000064356	mt-Atp8	protein_coding
ENSMUSG00000084188	Gm12851	pseudogene
ENSMUSG00000064355	mt-Tk	Mt_tRNA
ENSMUSG00000021440	Cts7	protein_coding
ENSMUSG00000064354	mt-Co2	protein_coding
ENSMUSG00000073961	Olfr582	protein_coding
ENSMUSG00000095076	AC125178.1	protein_coding
ENSMUSG00000095201	Vmn1r91	protein_coding
ENSMUSG00000085843	A730085A09Rik	antisense
ENSMUSG00000080918	Gm12202	pseudogene
ENSMUSG00000095637	Gm21608	protein_coding
ENSMUSG00000064353	mt-Td	Mt_tRNA
ENSMUSG00000090718	Gm17376	pseudogene
ENSMUSG00000064352	mt-Ts1	Mt_tRNA
ENSMUSG00000045792	Olfr578	protein_coding
ENSMUSG00000034687	Fras1	protein_coding
ENSMUSG00000057890	Olfr1375-ps1	pseudogene
ENSMUSG00000064351	mt-Co1	protein_coding
ENSMUSG00000081046	Gm12846	pseudogene
ENSMUSG00000095728	AC125178.2	protein_coding
ENSMUSG00000044042	Fmn1	protein_coding
ENSMUSG00000004748	Mtfp1	protein_coding
ENSMUSG00000034424	Gcsh	protein_coding
ENSMUSG00000038112	AW551984	protein_coding
ENSMUSG00000051285	Pcmtd1	protein_coding
ENSMUSG00000096645	Spin2e	protein_coding
ENSMUSG00000083825	Olfr1376-ps1	pseudogene
ENSMUSG00000082144	Gm12788	pseudogene
ENSMUSG00000043354	Olfr577	protein_coding
ENSMUSG00000027596	a	protein_coding
ENSMUSG00000028249	Sdcbp	protein_coding
ENSMUSG00000064350	mt-Ty	Mt_tRNA
ENSMUSG00000064349	mt-Tc	Mt_tRNA
ENSMUSG00000085791	Rpl30-ps9	pseudogene
ENSMUSG00000064348	mt-Tn	Mt_tRNA
ENSMUSG00000094722	Gm7792	protein_coding
ENSMUSG00000094351	Gm21883	protein_coding
ENSMUSG00000082074	Gm12661	pseudogene
ENSMUSG00000057446	Cts8	protein_coding
ENSMUSG00000064347	mt-Ta	Mt_tRNA
ENSMUSG00000064346	mt-Tw	Mt_tRNA
ENSMUSG00000051234	Rnf7	protein_coding
ENSMUSG00000073962	Olfr576	protein_coding
ENSMUSG00000064345	mt-Nd2	protein_coding
ENSMUSG00000094352	Gm2777	protein_coding
ENSMUSG00000046683	0610025J13Rik	antisense
ENSMUSG00000033285	Wdr3	protein_coding
ENSMUSG00000083542	Olfr1379-ps1	pseudogene
ENSMUSG00000031847	1700030J22Rik	protein_coding
ENSMUSG00000040372	Gpr63	protein_coding
ENSMUSG00000096244	VMN1R63	protein_coding
ENSMUSG00000064344	mt-Tm	Mt_tRNA
ENSMUSG00000054752	Fsd1l	protein_coding
ENSMUSG00000086226	Gm12660	antisense
ENSMUSG00000083644	Gm12787	pseudogene
ENSMUSG00000066269	Olfr575	protein_coding
ENSMUSG00000064343	mt-Tq	Mt_tRNA
ENSMUSG00000064342	mt-Ti	Mt_tRNA
ENSMUSG00000082388	Gm12692	pseudogene
ENSMUSG00000095229	Gm2784	protein_coding
ENSMUSG00000096776	VMN1R62	protein_coding
ENSMUSG00000064341	mt-Nd1	protein_coding
ENSMUSG00000060508	Nlrp9b	protein_coding
ENSMUSG00000056418	BC043934	protein_coding
ENSMUSG00000045824	Olfr574	protein_coding
ENSMUSG00000064340	mt-Tl1	Mt_tRNA
ENSMUSG00000021441	Cts6	protein_coding
ENSMUSG00000064339	mt-Rnr2	Mt_rRNA
ENSMUSG00000064338	mt-Tv	Mt_tRNA
ENSMUSG00000095754	Spin2f	protein_coding
ENSMUSG00000064337	mt-Rnr1	Mt_rRNA
ENSMUSG00000052785	Olfr573-ps1	protein_coding
ENSMUSG00000047388	Atmin	protein_coding
ENSMUSG00000064336	mt-Tf	Mt_tRNA
ENSMUSG00000049076	Acap2	protein_coding
ENSMUSG00000001552	Jup	protein_coding
ENSMUSG00000094391	Gm21447	protein_coding
ENSMUSG00000073778	Gm10574	antisense
ENSMUSG00000073963	Olfr572	protein_coding
ENSMUSG00000062038	Gm10108	protein_coding
ENSMUSG00000098112	Bin2	protein_coding
ENSMUSG00000085228	Gm14376	sense_intronic
ENSMUSG00000035910	Dcdc2a	protein_coding
ENSMUSG00000085745	Gm14372	antisense
ENSMUSG00000022070	Bora	protein_coding
ENSMUSG00000043310	Olfr571	protein_coding
ENSMUSG00000079834	Tmlhe	protein_coding
ENSMUSG00000086828	Gm15579	antisense
ENSMUSG00000032412	Atp1b3	protein_coding
ENSMUSG00000055679	Ctsr	protein_coding
ENSMUSG00000082561	Gm15580	pseudogene
ENSMUSG00000014547	Wdfy2	protein_coding
ENSMUSG00000073964	Olfr570	protein_coding
ENSMUSG00000054986	Sec14l3	protein_coding
ENSMUSG00000059277	R74862	processed_transcript
ENSMUSG00000062142	Olfr569	protein_coding
ENSMUSG00000053110	Yap1	protein_coding
ENSMUSG00000061654	Spry3	protein_coding
ENSMUSG00000039128	Cdc123	protein_coding
ENSMUSG00000011171	Vipr2	protein_coding
ENSMUSG00000059923	Grb2	protein_coding
ENSMUSG00000073965	Olfr568	protein_coding
ENSMUSG00000064105	Cnnm2	protein_coding
ENSMUSG00000033186	Mzt1	protein_coding
ENSMUSG00000052281	Gm15024	antisense
ENSMUSG00000090805	CAAA01165726.1	protein_coding
ENSMUSG00000028518	Prkaa2	protein_coding
ENSMUSG00000070777	Ceacam20	protein_coding
ENSMUSG00000060888	Olfr566	protein_coding
ENSMUSG00000051412	Vamp7	protein_coding
ENSMUSG00000078192	Gm7290	pseudogene
ENSMUSG00000048469	Olfr564	protein_coding
ENSMUSG00000027787	Nmd3	protein_coding
ENSMUSG00000025402	Nab2	protein_coding
ENSMUSG00000021732	Fgf10	protein_coding
ENSMUSG00000084294	Gm13533	pseudogene
ENSMUSG00000086266	Igf2os	antisense
ENSMUSG00000036860	Mrpl55	protein_coding
ENSMUSG00000040254	Sema3d	protein_coding
ENSMUSG00000094799	AC125149.3	protein_coding
ENSMUSG00000073966	Olfr561	protein_coding
ENSMUSG00000021339	Mrs2	protein_coding
ENSMUSG00000070778	Rpl7a-ps8	protein_coding
ENSMUSG00000079794	AC125149.2	protein_coding
ENSMUSG00000079192	AC125149.1	protein_coding
ENSMUSG00000043366	Olfr78	protein_coding
ENSMUSG00000097411	B430218F22Rik	protein_coding
ENSMUSG00000040498	Igsf23	protein_coding
ENSMUSG00000095092	AC125149.4	protein_coding
ENSMUSG00000026857	Ntmt1	protein_coding
ENSMUSG00000036438	Calm2	protein_coding
ENSMUSG00000079800	A530040E14RIK	protein_coding
ENSMUSG00000000031	H19	lincRNA
ENSMUSG00000031756	Cenpn	protein_coding
ENSMUSG00000029621	Arpc1a	protein_coding
ENSMUSG00000066272	Olfr559	protein_coding
ENSMUSG00000059366	Olfr959	protein_coding
ENSMUSG00000021843	Ktn1	protein_coding
ENSMUSG00000094065	Gm21541	protein_coding
ENSMUSG00000078586	Gm11735	pseudogene
ENSMUSG00000021731	Mrps30	protein_coding
ENSMUSG00000085902	Gm12200	antisense
ENSMUSG00000095041	AC149090.1	protein_coding
ENSMUSG00000066273	Olfr33	protein_coding
ENSMUSG00000083314	Gm11742	pseudogene
ENSMUSG00000087080	Gm12199	antisense
ENSMUSG00000094759	Gm10487	protein_coding
ENSMUSG00000081318	Rpl36-ps1	pseudogene
ENSMUSG00000050853	Olfr958	protein_coding
ENSMUSG00000085564	Gm12198	processed_transcript
ENSMUSG00000086826	Gm11739	antisense
ENSMUSG00000070423	Olfr558	protein_coding
ENSMUSG00000096543	Gm21966	protein_coding
ENSMUSG00000094070	Gm21728	pseudogene
ENSMUSG00000081311	Gm12197	pseudogene
ENSMUSG00000081929	Rps11-ps2	pseudogene
ENSMUSG00000081642	Gm13532	pseudogene
ENSMUSG00000087090	Nctc1	processed_transcript
ENSMUSG00000079797	Gm21784	pseudogene
ENSMUSG00000082545	Gm12196	pseudogene
ENSMUSG00000083889	E530001F21Rik	pseudogene
ENSMUSG00000087064	Gm11721	antisense
ENSMUSG00000073967	Olfr557	protein_coding
ENSMUSG00000024687	Osbp	protein_coding
ENSMUSG00000053559	Smagp	protein_coding
ENSMUSG00000019368	Sec14l4	protein_coding
ENSMUSG00000095322	Olfr957	protein_coding
ENSMUSG00000087072	Recql5os1	antisense
ENSMUSG00000094019	Gm21889	pseudogene
ENSMUSG00000081096	Gm12691	pseudogene
ENSMUSG00000083812	Gm5054	pseudogene
ENSMUSG00000085192	Gm12195	antisense
ENSMUSG00000036557	1700011E24Rik	protein_coding
ENSMUSG00000082245	Gm6292	pseudogene
ENSMUSG00000040511	Pvr	protein_coding
ENSMUSG00000095013	Gm21920	pseudogene
ENSMUSG00000092536	Gm20501	processed_transcript
ENSMUSG00000084130	Gm11704	pseudogene
ENSMUSG00000014633	Cmc2	protein_coding
ENSMUSG00000073968	Trim68	protein_coding
ENSMUSG00000096438	Gm20899	pseudogene
ENSMUSG00000083394	Gm11703	pseudogene
ENSMUSG00000003559	As3mt	protein_coding
ENSMUSG00000073787	Gm10575	processed_transcript
ENSMUSG00000084338	Gm13531	pseudogene
ENSMUSG00000084277	Gm11702	pseudogene
ENSMUSG00000000346	Dazap2	protein_coding
ENSMUSG00000062649	Olfr44	protein_coding
ENSMUSG00000042063	Zfp386	protein_coding
ENSMUSG00000091749	Tspy-ps	pseudogene
ENSMUSG00000062760	1810041L15Rik	protein_coding
ENSMUSG00000084292	Gm13535	pseudogene
ENSMUSG00000091083	Gm4535	pseudogene
ENSMUSG00000073969	Olfr556	protein_coding
ENSMUSG00000095019	AC234645.1	protein_coding
ENSMUSG00000041718	Alg13	protein_coding
ENSMUSG00000073970	Olfr555	protein_coding
ENSMUSG00000086844	B230206H07Rik	processed_transcript
ENSMUSG00000063176	Olfr955	protein_coding
ENSMUSG00000062376	2010012O05Rik	protein_coding
ENSMUSG00000095326	Gm21742	protein_coding
ENSMUSG00000054181	A930012O16Rik	processed_transcript
ENSMUSG00000083396	Gm15542	pseudogene
ENSMUSG00000028261	Ndufaf4	protein_coding
ENSMUSG00000096850	Gm21748	protein_coding
ENSMUSG00000021439	Ctsq	protein_coding
ENSMUSG00000073971	Olfr554	protein_coding
ENSMUSG00000039145	Camk1d	protein_coding
